target,dropped_block,cv_mae,cv_mae_std,cv_r2,cv_pearson,test_mae,test_rmse,test_r2,test_pearson,front_cv_mae,front_cv_r2,front_test_mae,front_test_r2,delta_cv_mae,delta_cv_r2,delta_test_mae,delta_test_r2,seconds
MOTOR_ST_SCALED_FineMotor,MRI,6.303315734863281,0.2244108177673354,0.4436253172681738,0.6747715031053086,5.393682956695557,6.781034469604492,0.5443364792305183,0.7466976435074018,6.3787816047668455,0.4410639203962805,5.3488640785217285,0.5471992321656819,-0.07546586990356463,0.0025613968718932734,0.044818878173828125,-0.0028627529351635816,1.9052855968475342
MOTOR_ST_SCALED_FineMotor,DTI,6.395728588104248,0.2831413513980612,0.43932613531040865,0.6708179963898425,5.402362823486328,6.762189865112305,0.5468655073534235,0.7469390911141505,6.3787816047668455,0.4410639203962805,5.3488640785217285,0.5471992321656819,0.01694698333740252,-0.0017377850858718569,0.05349874496459961,-0.0003337248122583514,2.183474540710449
MOTOR_ST_SCALED_FineMotor,DL,6.433000946044922,0.2949825652244438,0.4317237053660987,0.6667260331284963,5.348833084106445,6.660019874572754,0.5604549685022067,0.7568527605232444,6.3787816047668455,0.4410639203962805,5.3488640785217285,0.5471992321656819,0.054219341278076705,-0.009340215030181787,-3.0994415283203125e-05,0.01325573633652477,2.403879404067993
MOTOR_ST_SCALED_FineMotor,FC,6.394861316680908,0.2768915132772949,0.4413162639494212,0.6714568490398864,5.363367080688477,6.7760419845581055,0.5450071639855593,0.7468360193714355,6.3787816047668455,0.4410639203962805,5.3488640785217285,0.5471992321656819,0.016079711914062322,0.0002523435531406881,0.014503002166748047,-0.0021920681801226305,2.445158004760742
MOTOR_ST_SCALED_FineMotor,DEMO,6.385008239746094,0.3399605356744492,0.44172599209664565,0.6735956046358844,5.305833339691162,6.778484344482422,0.5446791498819656,0.7457497773865608,6.3787816047668455,0.4410639203962805,5.3488640785217285,0.5471992321656819,0.00622663497924858,0.0006620717003651411,-0.043030738830566406,-0.0025200822837162518,2.5121967792510986
MOTOR_ST_SCALED_Balance,BEH,12.239801597595214,0.8182635780180901,0.40185128823737915,0.643207127684836,10.949675559997559,13.849459648132324,0.46357563616149067,0.6847092951831955,12.048810958862305,0.412228559572452,10.820560455322266,0.479510316410641,0.19099063873290945,-0.01037727133507288,0.12911510467529297,-0.015934680249150346,2.0367496013641357
MOTOR_ST_SCALED_Balance,EEG,11.945664024353027,0.7484212149661816,0.4214006285414764,0.6580433187912301,10.820515632629395,13.636087417602539,0.4799772085306906,0.699282813817724,12.048810958862305,0.412228559572452,10.820560455322266,0.479510316410641,-0.1031469345092777,0.009172068969024394,-4.482269287109375e-05,0.0004668921200495779,2.0584397315979004
MOTOR_ST_SCALED_Balance,MRI,12.040729141235351,0.7761303656214203,0.4100998929539214,0.649295635141028,10.785964965820312,13.585746765136719,0.4838096791221468,0.7027768371462068,12.048810958862305,0.412228559572452,10.820560455322266,0.479510316410641,-0.00808181762695348,-0.002128666618530617,-0.034595489501953125,0.004299362711505772,1.931487798690796
MOTOR_ST_SCALED_Balance,DTI,12.044279670715332,0.7375836723315483,0.41350264750258037,0.6527014922211363,10.908101081848145,13.702239990234375,0.474919446384207,0.6977966473889328,12.048810958862305,0.412228559572452,10.820560455322266,0.479510316410641,-0.0045312881469730115,0.0012740879301283425,0.0875406265258789,-0.004590870026433991,2.211230993270874
MOTOR_ST_SCALED_Balance,DL,12.015851020812988,0.6294621147174566,0.4093235156468472,0.6478788939459663,10.778081893920898,13.717568397521973,0.47374397332729457,0.6955899561218265,12.048810958862305,0.412228559572452,10.820560455322266,0.479510316410641,-0.032959938049316406,-0.002905043925604811,-0.04247856140136719,-0.005766343083346448,2.0696980953216553
MOTOR_ST_SCALED_Balance,FC,12.055747985839844,0.7393811836273745,0.41137936928642593,0.6496482231270213,10.842829704284668,13.661662101745605,0.4780247774965698,0.6977302164539998,12.048810958862305,0.412228559572452,10.820560455322266,0.479510316410641,0.0069370269775390625,-0.0008491902860260914,0.022269248962402344,-0.001485538914071216,2.255624294281006
MOTOR_ST_SCALED_Balance,DEMO,12.193569946289063,0.895406751257092,0.4021452168513311,0.6429497583947413,10.96848201751709,13.686079025268555,0.4761573077320218,0.6971343076901056,12.048810958862305,0.412228559572452,10.820560455322266,0.479510316410641,0.14475898742675852,-0.010083342721120936,0.14792156219482422,-0.003353008678619207,2.4284682273864746
