target,feature,category,n,pearson_r,p_raw,ci_lo,ci_hi,q_fdr
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_FunctionalReaching,ST,423,-0.42089225476896,1.3667669320161298e-19,-0.49632198727891425,-0.33915524814533665,7.193510168505947e-19
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_WorseLegEyeOpen,ST,422,-0.26188417532221026,4.7773492687989804e-08,-0.34862926713039616,-0.17069068172945587,1.0385541888693436e-07
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_BestLegEyeOpen,ST,422,-0.19249261808948917,6.895643164077883e-05,-0.2827575133654511,-0.09884830276769538,0.00012313648507281935
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_WorseLegEyeClose,ST,413,-0.2964134473120218,8.037075710328332e-10,-0.3819839422189268,-0.20580370378862944,1.9602623683727637e-09
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_BestLegEyeClose,ST,413,-0.3934894731912695,9.56858142833556e-17,-0.472061472827592,-0.3087151685256849,3.9869089284731496e-16
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_PegboardDominant,ST,423,-0.2641935748972275,3.470264731088878e-08,-0.3507068630890471,-0.1732090740221153,7.711699402419729e-08
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_PegboardNondominant,ST,423,-0.23916642161753113,6.465085716397884e-07,-0.3270559299455025,-0.14717491316986914,1.319405248244466e-06
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_PegboardBoth,ST,423,-0.2772473919591307,6.65778865995739e-09,-0.36299922513701866,-0.1868387757007225,1.5851877761803307e-08
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_PegboardSum,ST,423,-0.30319696650296024,1.9163942806084338e-10,-0.3873467886693149,-0.2140369069072699,4.790985701521085e-10
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_PegboardAssemble,ST,423,-0.40662338971733786,2.836610556927314e-18,-0.48323573180130713,-0.3238308242419088,1.2333089377944844e-17
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_SymbolSearch,ST,423,-0.4476992596900813,3.057125290477131e-22,-0.5208148704843119,-0.3680631219217846,2.5476044087309426e-21
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_SymbolCoding,ST,423,-0.4156141752867186,4.268233295529015e-19,-0.4914853487175851,-0.33348165563404125,2.1341166477645076e-18
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_GripMvcL,ST,423,-0.35964220170383415,2.3167458937682046e-14,-0.4399050747946533,-0.27367927136218756,8.274092477743587e-14
MEMORY_ST_NORM_VisImm,MOTOR_ST_RAW_GripMvcR,ST,423,-0.3772578234974785,9.3653421060808e-16,-0.45619583871263414,-0.29242900758368484,3.46864522447437e-15
MEMORY_ST_NORM_VisImm,MOTOR_ST_NORM_BMI,ST,422,-0.053713408228425574,0.27092400235599184,-0.1484131174104386,0.0419624554284806,0.35876228065360904
MEMORY_ST_NORM_VisImm,MOTOR_ST_NORM_WHR,ST,422,-0.14338616101655843,0.0031565996965049687,-0.23562173157258967,-0.04859055572700922,0.005174753600827817
MEMORY_ST_NORM_VisImm,MOTOR_ST_NORM_AerobicRating,ST,411,0.25593788692248326,1.4348085091364894e-07,0.16324839737666666,0.34414879963839035,3.0527840619925305e-07
MEMORY_ST_NORM_VisImm,MOTOR_ST_NORM_FunctionalReaching,ST,422,-0.04984005338633844,0.30704400838434226,-0.14461272019058205,0.04583873696186596,0.38866330175233194
MEMORY_ST_NORM_VisImm,MOTOR_ST_NORM_BestLegEyeClose,ST,413,0.19632672543807692,5.896942761941952e-05,0.10175820845755404,0.2873786986454647,0.00010721714112621731
MEMORY_ST_NORM_VisImm,MOTOR_ST_NORM_PegboardDominant,ST,422,0.026842826463292085,0.582397577503059,-0.06879415443234448,0.12199093297092407,0.6262339543043645
MEMORY_ST_NORM_VisImm,MOTOR_ST_NORM_PegboardNondominant,ST,422,0.02943349753896311,0.546522719816049,-0.06621324496107445,0.12454426060871622,0.6005744173802737
MEMORY_ST_NORM_VisImm,MOTOR_ST_NORM_PegboardSum,ST,422,0.029809407719743976,0.5414092883849181,-0.0658386448471814,0.12491464757926389,0.6005744173802737
MEMORY_ST_NORM_VisImm,MOTOR_ST_NORM_PegboardBoth,ST,422,0.035266641541839415,0.46995898432383865,-0.06039739135088356,0.13028871472764658,0.5464639352602775
MEMORY_ST_NORM_VisImm,MOTOR_ST_NORM_PegboardAssemble,ST,422,-0.07473655336490467,0.1253062725263962,-0.16899159941404399,0.020873063845156574,0.17648770778365663
MEMORY_ST_NORM_VisImm,MOTOR_ST_NORM_WaisSpeed,ST,422,0.16564496621005126,0.0006347335971210123,0.0713118911682015,0.2570411811628678,0.001075819656137309
MEMORY_ST_NORM_WorMem,BASIC_Q_BFI_Agreeableness,Q,425,0.030299160077723354,0.5333262016499851,-0.0650110487276694,0.12506155263907467,0.6274425901764531
MEMORY_ST_NORM_WorMem,BASIC_Q_BFI_Conscientiousness,Q,425,0.17365650428687476,0.0003221043173837799,0.0798527298072877,0.26441160615225207,0.0007669150413899521
MEMORY_ST_NORM_WorMem,BASIC_Q_BFI_EmotionalStability,Q,425,0.16204172054080326,0.0007996315159760404,0.06796650964270193,0.2532608292027291,0.001701343651012852
MEMORY_ST_NORM_WorMem,BASIC_Q_BFI_Extraversion,Q,423,0.04496753737414684,0.3562283421587602,-0.05059707993218118,0.1397161770083142,0.4749711228783469
MEMORY_ST_NORM_WorMem,BASIC_Q_BFI_Intellect,Q,425,0.02205524692259408,0.6502631775000677,-0.07322120579371706,0.1169327646573523,0.6988609837368559
MEMORY_ST_NORM_WorMem,BASIC_Q_Beck_Anxiety,Q,425,-0.06317351372847788,0.19366324328463635,-0.15735079216699696,0.032142475974757556,0.2806713670791831
MEMORY_ST_NORM_WorMem,BASIC_Q_Beck_Depression,Q,425,-0.09553649777095835,0.049040568978669985,-0.18894228417657022,-0.00041745374076111806,0.08173428163111664
MEMORY_ST_NORM_WorMem,BASIC_Q_CogFailure_Sum,Q,425,-0.1224420605002626,0.01152756925761419,-0.2150600856125402,-0.02764116037143434,0.021347350477063314
