level,target,feature,category,n,pearson_r,p_raw,ci_lo,ci_hi,q_fdr
RAW,LANGUAGE_ST_RAW_SUM,BASIC_Q_SF36_SocialFunc,Q,425,-0.017552451098438237,0.7182376508205053,-0.11248747535307041,0.0777001177709117,0.7472573538839601
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_RAW_SIMILARITY,ST,427,0.07599467537558714,0.11687710928533351,-0.019042233412537978,0.16967061302821693,0.1543377213003164
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_RAW_VOCABULARY,ST,427,-0.08803876078380693,0.069151516948884,-0.18142258270933176,0.0069186220208464514,0.09625143577645752
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_RAW_INFORMATION,ST,427,0.06162289727173686,0.2037821749152413,-0.033472427866699433,0.15561245646536817,0.24987576209845067
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_SCALED_SIMILARITY,ST,427,0.07599467536546388,0.11687710933422019,-0.01904223342271635,0.16967061301832795,0.1543377213003164
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_SCALED_VOCABULARY,ST,427,-0.08803876077853189,0.06915151696561025,-0.18142258270419048,0.006918622026162445,0.09625143577645752
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_SCALED_INFORMATION,ST,427,0.06162289727250844,0.20378217490956838,-0.033472427865925775,0.15561245646612396,0.24987576209845067
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_SCALED_SUM,ST,427,0.02107527419624184,0.6640919171992833,-0.07397225168540258,0.11574336227733066,0.6979741578727161
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_NORM_SIMILARITY,ST,427,-0.32085884842226886,1.1122978990014311e-11,-0.40347293085294805,-0.23305566776597808,3.1824078776985395e-11
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_NORM_VOCABULARY,ST,427,-0.3393529569998525,5.728750336333496e-13,-0.42070399394623065,-0.25258783103885213,2.185412165342037e-12
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_NORM_INFORMATION,ST,427,-0.30533533310684624,1.15213640437603e-10,-0.38896420933550047,-0.21671534014038038,2.9667512412682773e-10
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_NORM_VCI,ST,427,-0.38010524173162324,3.9872138444122413e-16,-0.4584670753609514,-0.2958785426208706,2.053415129872304e-15
