level,target,feature,category,n,pearson_r,p_raw,ci_lo,ci_hi,q_fdr
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_BMI,ST,422,0.08935775113763127,0.0666733992159791,-0.006155456194196999,0.18325525601880902,0.37503787058988247
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_WHR,ST,422,0.06967926729829747,0.15303657428764253,-0.025954069960650326,0.1640487756149107,0.6260587129949012
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_AerobicRating,ST,411,0.10083240157340824,0.04103532407253124,0.00414174540687563,0.19565510833032101,0.2968882935446767
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_FunctionalReaching,ST,422,-0.09861976089550446,0.04288386462311997,-0.1922703681144141,-0.0031890835759067603,0.2968882935446767
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_WorseLegEyeOpen,ST,421,-0.09994031366257258,0.040399479935168056,-0.19366460965155535,-0.0044082966521033105,0.2968882935446767
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_BestLegEyeOpen,ST,421,-0.07980064128440721,0.10202544972389323,-0.1740473276071606,0.015894709472090894,0.5089063958795993
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_WorseLegEyeClose,ST,413,0.006160992606568972,0.900659824808507,-0.09038905113973843,0.1025963040447092,0.9514906886465135
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_BestLegEyeClose,ST,413,-0.06047053311979682,0.22008418944163294,-0.15605622276612663,0.03623722399436894,0.7006405580810995
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_PegboardDominant,ST,422,-0.675718250499571,1.364618980497997e-57,-0.724448721193555,-0.6202676264823977,2.4563141648963946e-56
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_PegboardNondominant,ST,422,-0.6935143669670054,8.703404610152608e-62,-0.7399855333476049,-0.6404538692854154,1.958266037284337e-60
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_PegboardBoth,ST,422,-0.7043588029484966,1.696991808723379e-64,-0.7494289607003316,-0.6527908343608764,5.090975426170137e-63
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_PegboardSum,ST,422,-0.8070452408281132,3.906241600296109e-98,-0.8379493947869593,-0.7709818318988741,1.7578087201332489e-96
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_PegboardAssemble,ST,422,-0.37817965132243736,8.516405735880105e-16,-0.4571371102815369,-0.29330774004157567,1.0949664517560136e-14
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_SymbolSearch,ST,422,-0.08964139730124097,0.06581023557498057,-0.18353157563790382,0.0058695299655896335,0.37503787058988247
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_SymbolCoding,ST,422,-0.1474331441907269,0.0023950799134162945,-0.23952278382311246,-0.0527143493510829,0.026944649025933312
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_GripMvcL,ST,422,-0.007967384536585102,0.8703702398865958,-0.1033494801502278,0.08755991143541185,0.9514906886465135
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_RAW_GripMvcR,ST,422,0.009762040883968566,0.8415212339898203,-0.08577859578530236,0.10512477636930312,0.9514906886465135
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_NORM_PegboardSum,ST,422,-0.817058382879138,1.6997532802676146e-102,-0.8464950389181959,-0.7826413314224997,1.529777952240853e-100
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_SCALED_FineMotor,ST,422,-0.5814873624036534,1.535070700885707e-39,-0.6413473881733895,-0.5145912033798883,2.3026060513285604e-38
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_SCALED_Balance,ST,413,-0.04926014489226542,0.3179610368387093,-0.14506688703346735,0.047461767195123225,0.7949025920967733
NORM,MOTOR_ST_NORM_PegboardBoth,MOTOR_ST_SCALED_ProcessingSpeed,ST,422,-0.12415776576343736,0.01068462342888689,-0.21704599631384322,-0.02904126796440133,0.10684623428886891
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_BFI_Agreeableness,Q,422,-0.040683479460940725,0.40449951744851115,-0.13561748577877203,0.05499078714423611,0.47901258645218425
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_BFI_Conscientiousness,Q,422,-0.060181961452807735,0.21729690026118315,-0.1547536004774562,0.03548258678635691,0.3416400903610454
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_BFI_EmotionalStability,Q,422,-0.15127025710325592,0.0018318312036798676,-0.2432187894313352,-0.0566272752635542,0.016486480833118808
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_BFI_Extraversion,Q,422,-0.058341240005930765,0.2317172322208981,-0.15295011593922198,0.037327347372268026,0.3459740005796364
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_BFI_Intellect,Q,422,-0.050960539354801035,0.2962829981490548,-0.1457123884511656,0.04471770047513165,0.40402227020325654
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_Beck_Anxiety,Q,422,0.09977369978756795,0.04049635201957661,0.004354473482073849,0.19339244016887389,0.15884263428919881
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_Beck_Depression,Q,422,0.07645674248604538,0.11682028053024511,-0.019143680195358805,0.17067177539099102,0.25840973990397154
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_CogFailure_Sum,Q,422,0.0745464550622827,0.1262727076135857,-0.02106414313531884,0.16880588934848612,0.25840973990397154
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_EHI_Sum,Q,422,-0.07587576501323774,0.11963455352921372,-0.17010437324393055,0.019727827014954936,0.25840973990397154
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_IPAQ_MET,Q,422,0.02706751590617426,0.5792431929985792,-0.06857036230316971,0.12221243349720118,0.6436035477761991
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_MOCA_SUM,Q,422,-0.07534925244702019,0.12223045286947413,-0.169590109382184,0.02025715543816016,0.25840973990397154
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_MSPSS_Sum,Q,422,-0.04154200721457242,0.3946478773368521,-0.13646155165954282,0.05413336598258154,0.47901258645218425
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_PSQI_DaytimeDysfunc,Q,422,0.12233915067354977,0.011897536769244044,0.027196061737919126,0.21528562046180816,0.06692364432699774
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_PSQI_SleepDisturbance,Q,422,0.16431083221490345,0.0007029557039937126,0.06994727069643442,0.25575988074347017,0.007029557039937125
NORM,MOTOR_ST_NORM_PegboardAssemble,BASIC_Q_PSQI_SleepDuration,Q,422,0.0848556904352653,0.08166065022792092,-0.010691616102466028,0.17886749544750374,0.24498195068376277
